clip_id,asset_id,motion_id,episode_len_steps,success,terminated,max_gt_error,mean_gt_error,mean_gr_error
002285,male_0d2e4580,3104,198,1,0,0.18322765827178955,0.09209047257900238,0.17572395503520966
002307,male_0d2e4580,3136,198,1,0,0.15157967805862427,0.0800398513674736,0.18036150932312012
002311,male_0d2e4580,3168,198,1,0,0.07559368014335632,0.06287053227424622,0.16672693192958832
002332,male_0d2e4580,3200,198,1,0,0.19442975521087646,0.13906556367874146,0.17186975479125977
002355,male_0d2e4580,3232,198,1,0,0.10895194858312607,0.09036149084568024,0.18326833844184875
002372,male_0d2e4580,3264,198,1,0,0.1409088373184204,0.08500047773122787,0.2086273729801178
002373,male_0d2e4580,3296,198,1,0,0.13165074586868286,0.08359238505363464,0.15549132227897644
002455,male_0d2e4580,3328,198,1,0,0.11109273880720139,0.06912227720022202,0.15714900195598602
002506,male_0d2e4580,3360,198,1,0,0.0803261250257492,0.06561366468667984,0.22039005160331726
002530,male_0d2e4580,3392,198,1,0,0.19470159709453583,0.1297089010477066,0.17936567962169647
002581,male_0d2e4580,3424,198,1,0,0.0740213692188263,0.059848543256521225,0.14348366856575012
002596,male_0d2e4580,3456,198,1,0,0.15074414014816284,0.11066675931215286,0.1896427869796753
002598,male_0d2e4580,3488,198,1,0,0.12911100685596466,0.08398164808750153,0.17600512504577637
002667,male_0d2e4580,3520,198,1,0,0.07332512736320496,0.05742032453417778,0.16890087723731995
002728,male_0d2e4580,3552,198,1,0,0.2052382528781891,0.10627078264951706,0.17738774418830872
002740,male_0d2e4580,3584,198,1,0,0.24073359370231628,0.1203492060303688,0.20042215287685394
002761,male_0d2e4580,3616,198,1,0,0.12227024137973785,0.07915831357240677,0.14657574892044067
002780,male_0d2e4580,3648,198,1,0,0.18547400832176208,0.07881038635969162,0.14892244338989258
002825,male_0d2e4580,3680,198,1,0,0.19170808792114258,0.09469068050384521,0.19271712005138397
002870,male_0d2e4580,3712,198,1,0,0.150730699300766,0.08056419342756271,0.1559775024652481
002891,male_0d2e4580,3744,198,1,0,0.1382174789905548,0.08789153397083282,0.16726775467395782
002923,male_0d2e4580,3776,198,1,0,0.2180408239364624,0.08327136188745499,0.15656834840774536
003040,male_0d2e4580,3808,198,1,0,0.18271802365779877,0.11559432744979858,0.15951691567897797
003068,male_0d2e4580,3840,198,1,0,0.20051932334899902,0.08652078360319138,0.1491464227437973
003123,male_0d2e4580,3872,198,1,0,0.25874167680740356,0.1278260350227356,0.1836574673652649
003124,male_0d2e4580,3904,198,1,0,0.1654798835515976,0.11192028969526291,0.1802693009376526
003147,male_0d2e4580,3936,198,1,0,0.08697652816772461,0.07666640728712082,0.17391358315944672
003178,male_0d2e4580,3968,198,1,0,0.2855764627456665,0.10615736246109009,0.18496374785900116
003182,male_0d2e4580,4000,198,1,0,0.10270537436008453,0.08403820544481277,0.188360795378685
003200,male_0d2e4580,4032,198,1,0,0.2794029712677002,0.0997200459241867,0.16966155171394348
003209,male_0d2e4580,4064,198,1,0,0.13936176896095276,0.07958787679672241,0.17896275222301483
000007,female_0d2e4580,1,198,1,0,0.11056014895439148,0.06430155038833618,0.1477603167295456
000009,female_0d2e4580,33,198,1,0,0.05833737179636955,0.05349988490343094,0.10250180214643478
000015,female_0d2e4580,65,198,1,0,0.08206545561552048,0.0668405294418335,0.1790858954191208
000029,female_0d2e4580,97,198,1,0,0.058782100677490234,0.048915933817625046,0.14511580765247345
000032,female_0d2e4580,129,198,1,0,0.11962085962295532,0.08372334390878677,0.13626669347286224
000041,female_0d2e4580,161,198,1,0,0.15084317326545715,0.07557275891304016,0.1360340118408203
000093,female_0d2e4580,193,198,1,0,0.23545622825622559,0.119721420109272,0.13267605006694794
000108,female_0d2e4580,225,198,1,0,0.10661253333091736,0.06524688005447388,0.13202309608459473
000128,female_0d2e4580,257,198,1,0,0.18800470232963562,0.11585281789302826,0.2030392289161682
000135,female_0d2e4580,289,198,1,0,0.17288371920585632,0.09982836991548538,0.16820745170116425
000156,female_0d2e4580,321,198,1,0,0.0978517085313797,0.07273577898740768,0.15091486275196075
000171,female_0d2e4580,353,198,1,0,0.2604280114173889,0.10720701515674591,0.22004033625125885
000210,female_0d2e4580,385,198,1,0,0.11785148084163666,0.08124855160713196,0.14034010469913483
000225,female_0d2e4580,417,198,1,0,0.14526641368865967,0.08873479068279266,0.15309706330299377
000256,female_0d2e4580,449,198,1,0,0.24359217286109924,0.1031324565410614,0.1545073390007019
000257,female_0d2e4580,481,198,1,0,0.18008193373680115,0.11643505096435547,0.14474959671497345
000280,female_0d2e4580,513,198,1,0,0.08525204658508301,0.061389122158288956,0.17476627230644226
000317,female_0d2e4580,545,198,1,0,0.10538934171199799,0.07559029757976532,0.1594918817281723
000327,female_0d2e4580,577,198,1,0,0.10016527026891708,0.06451313197612762,0.14767983555793762
000336,female_0d2e4580,609,198,1,0,0.11884838342666626,0.07434864342212677,0.15016089379787445
000362,female_0d2e4580,641,198,1,0,0.0840391144156456,0.055651020258665085,0.13028022646903992
000438,female_0d2e4580,673,198,1,0,0.08489083498716354,0.05743339657783508,0.12751519680023193
000516,female_0d2e4580,705,198,1,0,0.14242589473724365,0.09896524250507355,0.14913244545459747
000522,female_0d2e4580,737,198,1,0,0.12772881984710693,0.06108742207288742,0.15734446048736572
000523,female_0d2e4580,769,198,1,0,0.1396646946668625,0.1007504016160965,0.1829112470149994
000537,female_0d2e4580,801,198,1,0,0.09036801755428314,0.07212011516094208,0.13418564200401306
000542,female_0d2e4580,833,198,1,0,0.20034365355968475,0.0904555693268776,0.1484253704547882
000556,female_0d2e4580,865,198,1,0,0.20215269923210144,0.11933036148548126,0.17842945456504822
000615,female_0d2e4580,897,198,1,0,0.1299082636833191,0.06933873891830444,0.14028999209403992
